date,assets,credit_loss_allowances,card_interchange_fees,earnings_life_insurance,atm_fees,check_printing_fees,fiduciary_activities,sale_mutual_funds,insurcance_commissions,investment_banking_fees,net_change_fair_value,ng_assets_fv,ng_credit_deriv,ng_sale_loans,ng_other_assets,ng_other_real_estate,net_sec_income,net_servicing_fees,res_mortgages_closed,res_mortgages_open,other_adj_equity,other_nii,rent_other_real_estate,safe_deposit_rent,service_charges,total_nii,total_tr,tr_comm,tr_credit,tr_equity,tr_foreign_ex,tr_int_rt_exp,vc_rev
09Q4,13105101851,5813449.5,7660544,1357690,224237,7524,6327246,3971759,11974325,22489330,1139861,5568089,3209369,-3951623,-2925964,1540921,-308321,1565422,11140776,4242323,9354,1456997,12154096,69056,7187,7275323,78118928,5832936,2873066,1526498,3360557,3225116,-5152758
10Q1,13622024840,6155640.5,8332095,791732,231051,7928,6155507,4250187,11836869,20402506,2396266,5612799,-206127,-161549,180709,441124,-270386,45132,5431137,4151202,4216,-2155435,27123769,74840,7649,6706530,105822772,27512570,2349867,12544226,4601496,5863668,2153313
10Q2,13396100852,5933209,9054623,722551,354297,8300,6405146,4055350,11290612,19967536,3126907,1646295,297468,413187,38401,349245,-375659,93868,4240420,3287421.5,56592.5,6390311,29797722,78053,7444,6772852,92690566,13741802,841542,5111545,1849281,6293517,-354083
10Q3,13769340803,5487629,9108911,881467,287846,8835,7003642,3910148,10695250,20049522,3370566,7551404,-632264,-262777,1518212,1164567,-372667,188880,3508666,3568079,112817,1012517,24984562,54200,8074,5843248,88038339,12465870,1600457,3838316,5855664,-2158454,3329887
10Q4,13372666732,5205259,9412923,810571,331984,8514,7451763,4638854,12324929,24877987,1533324,5794420,-444391,30449,-2077359,763887,-335130,-35522,3941166,3093007.5,93319.5,-345876,26065608,79443,7480,5443202,88128655,8920859,729714,839669,4447568,4322003,-1418095
11Q1,13632388225,4944808.5,9205828,808500,316021,8976,7784503,4476659,13678001,21832606,1835350,5644211,-364476,-388268,-389510,568046,-425114,273473,3942841,1979523,77469.5,-1811840,23599417,66609,8031,5325770,99653129,22323452,2721705,5480660,6447198,749653,6924236
11Q2,13814891410,4727933,10246152,880981,326893,10735,8329074,4550082,14272157,22576380,842707,3938463,-37899,15878,-12784702,1224316,-284845,208566,2263210,-3933760,68452,824726,27052422,78597,-1763,5626570,84582041,14542667,1388838,4256084,4149418,1143731,3604596
11Q3,13892263373,4682430.5,9992315.0278,498027.63889,309337.27778,9532,8135996.1111,4298163.7222,13966498.056,19176564.694,5567739,-3022912.056,1329461.4722,1273828,833265.52778,167227.77778,-398267.75,39830,-2669771.806,-3308342,41955.5,-503654.6111,35697396.361,64111,8826,5826438.1667,89636785.611,8967341.2778,2126452,2860873,-2651676.778,4889686.2222,1742006.8333
11Q4,13679328236,4797446,8794483,798744,234188,8721,7464601,4333991,13572665,16927461,2198690,6575718,-455814,-74105,596302,456669,-471271,-6639,3132007,3873859,38643,21151,25684476,50348,4990,5754589,78112682,4952358,1641108,-2802776,3044753,3030740,38533
12Q1,13878570544,4542558,8533200,873546,261746,9050,7013432,5181251,14915591,21342411,-854714,7547143,-1254466,-833913,1970440,427879,-238781,77130,4268817,5297782.5,51222,-916601,19598689,,13494,5496176,93212128,17586167,2249839,723187,5508922,1910454,7195765
12Q2,13795582939,4509313.5,9236541,759806,180602,8858,7258483,5252268,15205452,21101663,2416743,5682486,343996,249594,-319071,-183653,-78615,118427,1892491,5169914.5,45159,-1100134,31119446,145590,-2852,5605621,90899705,8658523,869245,-1240822,1471517,2960969,4595614
12Q3,14435538525,4324808.5,9182760,777664,347456,8657,7173353,5374259,16680497,21445860,1807400,7876891,-943153,-897409,2259209,-150371,-2298,319041,3087081,5410532.5,29844,-819853,30705467,57954,5574,5670386,99092412,11806682,540862,-654136,4021431,1416274,6482252
12Q4,14243483061,4598328.5,9600450,896137,180239,9277,7051210,3599290,12988920,22744162,1911753,9342062,-701818,1301614,-274400,989840,191663,201979,3775878,5254685,4343.5,3486273,34589296,,5227,5666496,99396154,10631619,1097000,1763542,2639731,1093695,4037650
