year,quarter,date,entity,assets,credit_loss_allowances,res_mortgages_open,other_adj_equity,fiduciary_activities,total_nii,tr_comm,investment_banking_fees,FI01650,res_mortgages_closed,net_servicing_fees,insurcance_commissions,ng_other_assets,net_sec_income,ng_other_real_estate,rent_other_real_estate,total_tr,check_printing_fees,earnings_life_insurance,atm_fees,safe_deposit_rent,service_charges,net_change_fair_value,card_interchange_fees,vc_rev,tr_int_rt_exp,tr_foreign_ex,tr_credit,tr_equity,ng_sale_loans,ng_credit_deriv,sale_mutual_funds,ng_assets_fv,other_nii,name,rssd9002,ID_RSSD,D_DT_START,D_DT_END,NM_SHORT,DOMESTIC_IND,rank
1990,2,90Q2,1113514,34120215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113514,1113514,1113514,10/1/1989,4/28/1991,FLEET/NORSTAR FNCL GROUP,Y,18
1990,2,90Q2,1250802,34078539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250802,1073757,1250802,11/22/1988,12/31/1991,NCNB TX CORP,Y,19
1990,2,90Q2,1416774,34074184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416774,1073757,1416774,11/22/1988,12/31/1991,NCNB TX BC,Y,20
1990,2,90Q2,1068762,31657207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068762,1068762,1068762,6/2/1990,12/31/1990,MELLON BC,Y,21
1990,2,90Q2,1469314,31407146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469314,1069778,1469314,5/31/1990,10/22/1992,PNC BC,Y,22
1990,2,90Q2,1131787,31246602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131787,1131787,1131787,5/12/1988,7/31/1990,SUNTRUST BANKS,Y,23
1990,2,90Q2,1076776,31128192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076776,1076776,1076776,6/22/1990,3/31/1992,BARNETT BANKS,Y,24
1990,2,90Q2,1248612,29848254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248612,1248612,1248612,5/1/1989,4/12/1991,FIRST FIDELITY BC,Y,25
1990,3,90Q3,1042351,227560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042351,1042351,1042351,2/27/1989,10/5/1990,CITICORP,Y,1
1990,3,90Q3,1026016,109849000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026016,1026016,1026016,9/8/1990,2/18/1991,BANKAMERICA CORP,Y,2
